time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-23T02:21:45.472Z,-3.8835,-81.8527,10,4.6,mb,,124,4.588,0.8,us,us6000cbuu,2020-10-23T02:47:36.040Z,"82 km WNW of El Alto, Peru",earthquake,9.1,1.9,0.082,44,reviewed,us,us
2020-10-23T02:19:07.596Z,19.9028,-45.7676,10,5,mb,,124,22.307,1.28,us,us6000cbus,2020-10-23T02:38:58.040Z,"northern Mid-Atlantic Ridge",earthquake,13.1,1.9,0.038,222,reviewed,us,us
2020-10-23T01:46:17.475Z,-36.4011,-97.1352,10,6,mww,,47,13.888,1.41,us,us6000cbug,2020-10-24T01:54:12.956Z,"West Chile Rise",earthquake,9.8,1.8,0.078,16,reviewed,us,us
2020-10-23T00:59:10.149Z,-24.6102,179.3424,534.69,4.7,mb,,90,5.219,0.96,us,us6000cbtu,2020-10-23T01:13:59.040Z,"south of the Fiji Islands",earthquake,12,9.6,0.081,46,reviewed,us,us
2020-10-23T00:33:35.437Z,19.98,-45.8636,10,5.3,mww,,63,15.342,0.78,us,us6000cbtq,2020-10-23T00:52:29.040Z,"northern Mid-Atlantic Ridge",earthquake,10.3,1.9,0.071,19,reviewed,us,us
2020-10-22T23:06:32.602Z,52.6958,-34.9841,10,5.1,mww,,48,10.208,0.74,us,us6000cbt3,2020-10-22T23:27:32.040Z,"Reykjanes Ridge",earthquake,9.4,1.8,0.098,10,reviewed,us,us
2020-10-22T19:19:46.496Z,-62.3688,-58.1586,10,5.1,mww,,74,0.27,1.05,us,us6000cbmk,2020-10-22T19:38:09.040Z,"South Shetland Islands",earthquake,7.9,1.8,0.093,11,reviewed,us,us
2020-10-22T12:00:48.969Z,52.689,-35.1277,10,4.7,mb,,96,11.095,0.82,us,us6000cbar,2020-10-22T12:27:11.040Z,"Reykjanes Ridge",earthquake,11.3,1.9,0.047,137,reviewed,us,us
2020-10-22T10:54:51.255Z,52.6383,-34.8015,10,4.6,mb,,119,14.689,0.76,us,us6000cbaf,2020-10-22T12:07:15.040Z,"Reykjanes Ridge",earthquake,12.9,1.9,0.071,59,reviewed,us,us
2020-10-22T10:10:52.592Z,3.8202,125.7629,143.37,4.6,mb,,99,3.233,0.53,us,us6000cb9y,2020-10-22T12:30:51.040Z,"178 km S of Sarangani, Philippines",earthquake,8.8,8.6,0.107,26,reviewed,us,us
2020-10-22T09:54:59.550Z,19.9486,-45.7372,10,4.6,mb,,155,15.598,0.53,us,us6000cba3,2020-10-22T11:28:49.040Z,"northern Mid-Atlantic Ridge",earthquake,7.1,1.9,0.074,55,reviewed,us,us
2020-10-22T08:24:06.992Z,-20.8778,-176.6074,237.63,5.8,mww,,33,5.927,1.23,us,us6000cb8b,2020-10-23T08:27:43.721Z,"148 km WNW of Haveluloto, Tonga",earthquake,8.7,4.2,0.045,48,reviewed,us,us
2020-10-22T07:50:38.447Z,47.9249,154.1259,35,4.5,mb,,164,5.667,0.61,us,us6000cb7t,2020-10-22T08:17:59.040Z,"Kuril Islands",earthquake,10,2,0.055,97,reviewed,us,us
2020-10-22T07:22:56.816Z,74.0668,-90.9601,10,4.6,mb,,114,1.236,0.85,us,us6000cb75,2020-10-22T07:51:15.040Z,"Devon Island, Nunavut, Canada",earthquake,9.3,1.9,0.045,145,reviewed,us,us
2020-10-22T07:14:17.917Z,23.9724,123.5525,35.14,4.7,mb,,57,0.697,0.69,us,us6000cb7p,2020-10-22T09:13:20.040Z,"74 km SW of Ishigaki, Japan",earthquake,5.6,5.1,0.057,92,reviewed,us,us
2020-10-22T06:14:24.820Z,-5.5515,149.5514,181.04,5.1,mww,,55,2.932,0.87,us,us6000cb66,2020-10-22T06:54:04.026Z,"64 km W of Kimbe, Papua New Guinea",earthquake,7.2,7.8,0.098,10,reviewed,us,us
