year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,2,10,0,15,34.12,121.3793,21.8170,53.33,3.02,14100015.P12
2012,2,10,12,37,9.60,122.1720,24.9955,122.45,3.03,14101236.P12
2012,2,11,1,13,4.33,121.9415,24.8267,3.24,3.78,14110112.P12
2012,2,11,10,8,9.91,121.5932,22.0490,103.97,3.23,14111008.P12
2012,2,11,15,51,36.38,121.7363,23.7303,34.81,3.30,14111551.P12
2012,2,12,20,25,40.61,120.8773,21.5990,46.53,3.89,14122025.P12
2012,2,12,21,49,5.36,121.4590,23.9540,25.27,3.41,14122148.P12
2012,2,12,23,7,3.75,121.9573,24.8185,8.44,3.15,14122306.P12
2012,2,13,8,13,1.09,121.9780,23.8340,31.11,3.14,14130812.P12
2012,2,13,19,55,34.64,122.2608,24.9513,148.08,3.57,14131955.P12
2012,2,14,5,8,33.52,120.2285,23.0452,15.57,3.08,14140508.P12
2012,2,14,5,35,22.06,120.7218,22.8448,7.12,3.32,14140534.P12
2012,2,14,6,30,13.75,121.9513,24.8333,6.61,3.14,14140629.P12
2012,2,14,13,44,32.27,122.7263,24.7960,5.28,3.01,14141344.P12
2012,2,14,17,5,30.06,121.9528,24.8250,8.42,3.33,14141705.P12
2012,2,14,20,57,8.37,121.5577,23.2733,43.32,3.56,14142057.P12
2012,2,15,2,33,25.09,121.0185,22.4090,12.97,3.63,14150232.P12
2012,2,15,5,26,52.10,122.0562,23.9038,48.53,3.09,14150526.P12
2012,2,15,11,30,2.90,122.6078,24.5238,90.70,3.15,14151129.P12
2012,2,15,14,32,19.63,122.3633,24.7320,98.19,3.15,14151432.P12
2012,2,15,17,3,35.85,120.9105,22.9983,7.05,3.16,14151702.P12
2012,2,16,2,2,15.45,122.9218,24.3612,42.48,3.33,14160201.P12
2012,2,16,11,4,46.17,122.7380,24.0275,44.38,4.08,14161104.P12
2012,2,17,3,41,55.11,121.7502,24.5833,68.22,3.05,14170340.P12
2012,2,17,9,19,24.24,121.0817,22.0642,27.40,3.78,14170919.P12
2012,2,17,14,35,51.49,121.4512,22.1870,82.67,4.12,14171435.P12
2012,2,17,15,19,24.17,121.9467,24.8145,6.56,3.21,14171519.P12
