stlo:  120.6328
stla:   22.6119
stel:    139.00
     T           E           N           Z
 2.7900e+00 -9.8600e+02 -2.8630e+03 -7.4200e+02
 2.8000e+00 -9.8200e+02 -2.8480e+03 -7.8100e+02
 2.8100e+00 -1.0100e+03 -2.9250e+03 -8.1900e+02
 2.8200e+00 -1.0720e+03 -2.9130e+03 -8.0800e+02
 2.8300e+00 -1.0290e+03 -2.8190e+03 -7.3500e+02
 2.8400e+00 -9.4700e+02 -2.8170e+03 -7.1300e+02
 2.8500e+00 -9.4200e+02 -2.8700e+03 -7.3500e+02
 2.8600e+00 -9.9400e+02 -2.8670e+03 -7.1000e+02
 2.8700e+00 -1.0090e+03 -2.8320e+03 -7.1700e+02
 2.8800e+00 -9.8600e+02 -2.8420e+03 -7.3800e+02
 2.8900e+00 -9.9800e+02 -2.8720e+03 -7.2600e+02
 2.9000e+00 -1.0140e+03 -2.8430e+03 -7.0800e+02
 2.9100e+00 -9.9500e+02 -2.8480e+03 -6.7300e+02
 2.9200e+00 -1.0290e+03 -2.8550e+03 -6.6900e+02
 2.9300e+00 -1.0770e+03 -2.8420e+03 -6.8100e+02
 2.9400e+00 -1.0850e+03 -2.8550e+03 -6.9000e+02
 2.9500e+00 -1.1110e+03 -2.8200e+03 -7.0300e+02
 2.9600e+00 -1.1000e+03 -2.8050e+03 -6.8100e+02
 2.9700e+00 -1.0910e+03 -2.7990e+03 -6.4100e+02
 2.9800e+00 -1.1210e+03 -2.7840e+03 -6.1600e+02
 2.9900e+00 -1.1500e+03 -2.7510e+03 -5.8400e+02
 3.0000e+00 -1.1560e+03 -2.7170e+03 -5.3500e+02
 3.0100e+00 -1.1520e+03 -2.7240e+03 -4.9700e+02
 3.0200e+00 -1.1700e+03 -2.7420e+03 -5.2300e+02
 3.0300e+00 -1.1850e+03 -2.7340e+03 -5.2700e+02
 3.0400e+00 -1.1650e+03 -2.6810e+03 -5.0000e+02
 3.0500e+00 -1.1160e+03 -2.7180e+03 -4.9000e+02
 3.0600e+00 -1.0950e+03 -2.7780e+03 -4.4200e+02
 3.0700e+00 -1.0900e+03 -2.7690e+03 -3.7600e+02
 3.0800e+00 -1.0370e+03 -2.7680e+03 -3.1100e+02
 3.0900e+00 -1.0230e+03 -2.7660e+03 -3.2400e+02
 3.1000e+00 -1.0700e+03 -2.7190e+03 -3.0900e+02
 3.1100e+00 -1.0340e+03 -2.6820e+03 -2.6300e+02
 3.1200e+00 -9.7800e+02 -2.6710e+03 -2.7100e+02
 3.1300e+00 -9.5000e+02 -2.6730e+03 -2.2700e+02
 3.1400e+00 -8.9200e+02 -2.7210e+03 -2.0000e+02
 3.1500e+00 -8.9600e+02 -2.7210e+03 -1.8500e+02
 3.1600e+00 -8.9500e+02 -2.7100e+03 -1.9100e+02
 3.1700e+00 -8.6100e+02 -2.7080e+03 -2.0500e+02
 3.1800e+00 -8.5600e+02 -2.6750e+03 -1.6100e+02
 3.1900e+00 -7.7600e+02 -2.6840e+03 -1.5400e+02
 3.2000e+00 -7.2300e+02 -2.6930e+03 -1.4600e+02
 3.2100e+00 -7.5500e+02 -2.6860e+03 -1.2600e+02
 3.2200e+00 -7.3400e+02 -2.6540e+03 -9.5000e+01
 3.2300e+00 -6.7000e+02 -2.6230e+03 -7.0000e+01
 3.2400e+00 -6.6000e+02 -2.6230e+03 -8.0000e+01
 3.2500e+00 -6.8800e+02 -2.6160e+03 -4.9000e+01
 3.2600e+00 -6.1400e+02 -2.6080e+03 -2.5000e+01
 3.2700e+00 -5.2700e+02 -2.6120e+03 -1.0000e+00
 3.2800e+00 -5.2000e+02 -2.6080e+03  2.8000e+01
 3.2900e+00 -4.8900e+02 -2.5670e+03  6.8000e+01
 3.3000e+00 -4.3500e+02 -2.5740e+03  1.1300e+02
 3.3100e+00 -4.0400e+02 -2.6260e+03  8.5000e+01
 3.3200e+00 -4.2700e+02 -2.6290e+03  8.3000e+01
 3.3300e+00 -3.9100e+02 -2.6450e+03  1.0200e+02
 3.3400e+00 -3.5800e+02 -2.6230e+03  1.1900e+02
 3.3500e+00 -3.7400e+02 -2.5820e+03  1.6700e+02
 3.3600e+00 -3.1500e+02 -2.6160e+03  1.6500e+02
 3.3700e+00 -2.9400e+02 -2.6120e+03  1.9000e+02
 3.3800e+00 -2.6300e+02 -2.6110e+03  2.4500e+02
